('GP', '46.17977,2.78527', '5', '172'),
('GP', '46.17977,2.78527', '5', '172'),
('GP', '46.17971,2.78534', '5', '172'),
('GP', '46.17941,2.78572', '5', '172'),
('GP', '46.17936,2.78579', '5', '172'),
('GP', '46.17919,2.78601', '5', '172'),
('GP', '46.17890,2.78640', '5', '172'),
('GP', '46.17885,2.78647', '5', '172'),
('GP', '46.17884,2.78650', '5', '172'),
('GP', '46.17882,2.78655', '5', '172'),
('GP', '46.17882,2.78660', '5', '172'),
('GP', '46.17882,2.78660', '5', '172'),
('GP', '46.17877,2.78664', '5', '172'),
('GP', '46.17874,2.78668', '5', '172'),
('GP', '46.17872,2.78676', '5', '172'),
('GP', '46.17869,2.78685', '5', '172'),
('GP', '46.17869,2.78685', '5', '172'),
('GP', '46.17867,2.78693', '5', '172'),
('GP', '46.17865,2.78712', '5', '172'),
('GP', '46.17865,2.78718', '5', '172'),
('GP', '46.17864,2.78722', '5', '172'),
('GP', '46.17861,2.78727', '5', '172'),
('GP', '46.17860,2.78729', '5', '172'),
('GP', '46.17852,2.78735', '5', '172'),
('GP', '46.17842,2.78744', '5', '172'),
('GP', '46.17832,2.78755', '5', '172'),
('GP', '46.17813,2.78779', '5', '172'),
('GP', '46.17797,2.78799', '5', '172'),
('GP', '46.17786,2.78813', '5', '172'),
('GP', '46.17784,2.78816', '5', '172'),
('GP', '46.17778,2.78821', '5', '172'),
('GP', '46.17771,2.78826', '5', '172'),
('GP', '46.17765,2.78830', '5', '172'),
('GP', '46.17762,2.78832', '5', '172'),
('GP', '46.17754,2.78850', '5', '172'),
('GP', '46.17744,2.78874', '5', '172'),
('GP', '46.17742,2.78877', '5', '172'),
('GP', '46.17739,2.78879', '5', '172'),
('GP', '46.17725,2.78883', '5', '172'),
('GP', '46.17724,2.78891', '5', '172'),
('GP', '46.17724,2.78896', '5', '172'),
('GP', '46.17722,2.78900', '5', '172'),
('GP', '46.17709,2.78921', '5', '172'),
('GP', '46.17682,2.78958', '5', '172'),
('GP', '46.17660,2.78990', '5', '172'),
('GP', '46.17658,2.78994', '5', '172'),
('GP', '46.17658,2.78994', '5', '172'),
('GP', '46.17652,2.78984', '5', '172'),
('GP', '46.17647,2.78971', '5', '172'),
('GP', '46.17643,2.78958', '5', '172'),
('GP', '46.17639,2.78947', '5', '172'),
('GP', '46.17635,2.78930', '5', '172'),
('GP', '46.17634,2.78925', '5', '172'),
('GP', '46.17634,2.78925', '5', '172'),
('GP', '46.17635,2.78930', '5', '172'),
('GP', '46.17639,2.78947', '5', '172'),
('GP', '46.17643,2.78958', '5', '172'),
('GP', '46.17647,2.78971', '5', '172'),
('GP', '46.17652,2.78984', '5', '172'),
('GP', '46.17658,2.78994', '5', '172'),
('GP', '46.17658,2.78994', '5', '172'),
('GP', '46.17655,2.78999', '5', '172'),
('GP', '46.17650,2.79005', '5', '172'),
('GP', '46.17644,2.79012', '5', '172'),
('GP', '46.17634,2.79020', '5', '172'),
('GP', '46.17622,2.79030', '5', '172'),
('GP', '46.17605,2.79043', '5', '172'),
('GP', '46.17605,2.79043', '5', '172'),
('GP', '46.17603,2.79044', '5', '172'),
('GP', '46.17583,2.79059', '5', '172'),
('GP', '46.17568,2.79072', '5', '172'),
('GP', '46.17556,2.79082', '5', '172'),
('GP', '46.17550,2.79087', '5', '172'),
('GP', '46.17550,2.79087', '5', '172'),
('GP', '46.17567,2.79110', '5', '172'),
('GP', '46.17575,2.79124', '5', '172'),
('GP', '46.17579,2.79132', '5', '172'),
('GP', '46.17583,2.79140', '5', '172'),
('GP', '46.17586,2.79148', '5', '172'),
('GP', '46.17590,2.79161', '5', '172'),
('GP', '46.17593,2.79169', '5', '172'),
('GP', '46.17593,2.79169', '5', '172'),
('GP', '46.17594,2.79174', '5', '172'),
('GP', '46.17598,2.79194', '5', '172'),
('GP', '46.17603,2.79220', '5', '172'),
('GP', '46.17603,2.79220', '5', '172'),
('GP', '46.17605,2.79229', '5', '172'),
('GP', '46.17613,2.79278', '5', '172'),
('GP', '46.17613,2.79282', '5', '172'),
('GP', '46.17617,2.79314', '5', '172')
