('GP', '44.48983,8.35045', '5', '171'),
('GP', '44.48983,8.35045', '5', '171'),
('GP', '44.49057,8.35094', '5', '171'),
('GP', '44.49110,8.35191', '5', '171'),
('GP', '44.49187,8.35230', '5', '171'),
('GP', '44.49257,8.35049', '5', '171'),
('GP', '44.49161,8.34830', '5', '171'),
('GP', '44.49237,8.34864', '5', '171'),
('GP', '44.49344,8.34859', '5', '171'),
('GP', '44.49410,8.34770', '5', '171'),
('GP', '44.49377,8.34765', '5', '171'),
('GP', '44.49410,8.34716', '5', '171'),
('GP', '44.49467,8.34709', '5', '171'),
('GP', '44.49485,8.34628', '5', '171'),
('GP', '44.49403,8.34577', '5', '171'),
('GP', '44.49400,8.34500', '5', '171'),
('GP', '44.49380,8.34298', '5', '171'),
('GP', '44.49340,8.34207', '5', '171'),
('GP', '44.49294,8.34073', '5', '171'),
('GP', '44.49259,8.33927', '5', '171'),
('GP', '44.49242,8.33789', '5', '171'),
('GP', '44.49184,8.33661', '5', '171'),
('GP', '44.49145,8.33562', '5', '171'),
('GP', '44.49115,8.33446', '5', '171'),
('GP', '44.49029,8.33352', '5', '171'),
('GP', '44.48957,8.33231', '5', '171'),
('GP', '44.48891,8.33116', '5', '171'),
('GP', '44.48832,8.33015', '5', '171'),
('GP', '44.48838,8.33120', '5', '171'),
('GP', '44.48812,8.33244', '5', '171'),
('GP', '44.48796,8.33344', '5', '171'),
('GP', '44.48763,8.33369', '5', '171'),
('GP', '44.48740,8.33581', '5', '171'),
('GP', '44.48663,8.33624', '5', '171'),
('GP', '44.48524,8.33633', '5', '171'),
('GP', '44.48435,8.33729', '5', '171'),
('GP', '44.48339,8.33731', '5', '171'),
('GP', '44.48192,8.33601', '5', '171'),
('GP', '44.48112,8.33566', '5', '171'),
('GP', '44.47835,8.33278', '5', '171'),
('GP', '44.47774,8.33296', '5', '171'),
('GP', '44.47742,8.33281', '5', '171'),
('GP', '44.47729,8.33360', '5', '171'),
('GP', '44.47641,8.33418', '5', '171'),
('GP', '44.47575,8.33392', '5', '171'),
('GP', '44.47394,8.33425', '5', '171'),
('GP', '44.47235,8.33422', '5', '171'),
('GP', '44.47120,8.33485', '5', '171'),
('GP', '44.47062,8.33583', '5', '171'),
('GP', '44.46930,8.33596', '5', '171'),
('GP', '44.46713,8.33550', '5', '171'),
('GP', '44.46619,8.33601', '5', '171'),
('GP', '44.46573,8.33691', '5', '171'),
('GP', '44.46676,8.33689', '5', '171'),
('GP', '44.46771,8.33764', '5', '171'),
('GP', '44.46811,8.33880', '5', '171'),
('GP', '44.46881,8.33987', '5', '171'),
('GP', '44.46968,8.34040', '5', '171'),
('GP', '44.47020,8.34235', '5', '171'),
('GP', '44.47033,8.34313', '5', '171'),
('GP', '44.47074,8.34356', '5', '171'),
('GP', '44.47086,8.34427', '5', '171'),
('GP', '44.47261,8.34554', '5', '171'),
('GP', '44.47258,8.34669', '5', '171'),
('GP', '44.47224,8.34697', '5', '171'),
('GP', '44.47154,8.34712', '5', '171'),
('GP', '44.47226,8.34800', '5', '171'),
('GP', '44.47302,8.34892', '5', '171'),
('GP', '44.47385,8.34864', '5', '171'),
('GP', '44.47396,8.34934', '5', '171'),
('GP', '44.47383,8.34993', '5', '171'),
('GP', '44.47357,8.35023', '5', '171'),
('GP', '44.47394,8.35060', '5', '171'),
('GP', '44.47394,8.35141', '5', '171'),
('GP', '44.47438,8.35180', '5', '171'),
('GP', '44.47500,8.35199', '5', '171'),
('GP', '44.47604,8.35197', '5', '171'),
('GP', '44.47719,8.35266', '5', '171'),
('GP', '44.47902,8.35388', '5', '171'),
('GP', '44.48039,8.35356', '5', '171'),
('GP', '44.48134,8.35251', '5', '171'),
('GP', '44.48375,8.35246', '5', '171'),
('GP', '44.48509,8.35182', '5', '171'),
('GP', '44.48544,8.35206', '5', '171'),
('GP', '44.48682,8.34914', '5', '171'),
('GP', '44.48752,8.34906', '5', '171'),
('GP', '44.48810,8.34958', '5', '171'),
('GP', '44.48856,8.34991', '5', '171'),
('GP', '44.48896,8.35058', '5', '171'),
('GP', '44.48977,8.35042', '5', '171')
